12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\22600001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 22600001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\22600001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '22600001Imageset' via XML file. (0180E210)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\22700001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 22700001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\22700001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '22700001Imageset' via XML file. (01814420)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\22800001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 22800001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\22800001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '22800001Imageset' via XML file. (0181A630)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\22900001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 22900001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\22900001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '22900001Imageset' via XML file. (01820840)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\23300001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 23300001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\23300001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '23300001Imageset' via XML file. (01826A50)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\23400001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 23400001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\23400001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '23400001Imageset' via XML file. (0182CC60)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeDressIcons\Imageset\10100001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 10100001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeDressIcons\10100001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '10100001Imageset' via XML file. (01833050)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeDressIcons\Imageset\10200001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 10200001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeDressIcons\10200001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '10200001Imageset' via XML file. (00DAF3D8)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeDressIcons\Imageset\10500001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 10500001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeDressIcons\10500001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '10500001Imageset' via XML file. (0183F528)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeDressIcons\Imageset\10500002.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 10500002Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeDressIcons\10500002.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '10500002Imageset' via XML file. (01839080)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeDressIcons\Imageset\10600001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 10600001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeDressIcons\10600001.dds in resource group: (Default)
